ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:774(_find_impl)
48,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:193(__get__)
1,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/_pytest/unraisableexception.py:1(<module>)
4,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:77(__call__)
377,0.001,0.000,0.003,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:260(contextmanager)
7,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:527(_push_exit_callback)
354,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:431(__enter__)
4,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:543(__enter__)
8,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:757(__exit__)
17,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/_distutils_hack/__init__.py:96(<lambda>)
18,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:179(__repr__)
330,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:1142(__init__)
165,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:842(_hash_set_none)
2049,0.006,0.000,0.010,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:35(update_wrapper)
2,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:818(dispatch)
2,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:1092(expand_template)
82,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:391(_has_code_flag)
1,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/warnings.py:117(_formatwarnmsg)
378,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:826(__setattr__)
39,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:961(_find_data_repr_)
7,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:509(callback)
8,0.000,0.000,0.004,0.001,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:63(reshape)
4,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:191(<setcomp>)
1,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:118(_recreate_cm)
354,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:434(__exit__)
4,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:460(__init__)
